"host_city","source_name","scale","theme","url","notes"
"National","ArcGIS Living Atlas of the World","National/global","multi-theme GIS","https://livingatlas.arcgis.com/en/home/","Comparable hosted GIS layers across all host cities."
"National","U.S. Census TIGER/Line Shapefiles","National","boundaries/demographics","https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html","Geographic boundaries and base files for joining Census tables."
"National","data.census.gov","National","demographics/economy","https://data.census.gov/","Census and ACS tables for demographic, housing, commuting, and economic analysis."
"National","USGS The National Map Downloader","National","basemap/elevation/hydrography","https://apps.nationalmap.gov/downloader/","Elevation, hydrography, land cover, structures, and base map datasets."
"National","USGS EarthExplorer","National/global","imagery/remote sensing","https://earthexplorer.usgs.gov/","Landsat and other remote sensing downloads."
"National","FEMA National Flood Hazard Layer","National","hazards/flood","https://www.fema.gov/flood-maps/national-flood-hazard-layer","Flood hazard data for screening and planning."
"National","EPA Facility Registry Service Geospatial Data","National","environment/facilities","https://www.epa.gov/frs/geospatial-data-download-service","Regulated facilities and environmental identifiers."
"National","NOAA Digital Coast","National/coastal","coastal/hazards","https://coast.noaa.gov/digitalcoast/data/home.html","Coastal imagery, elevation, land cover, shoreline, and hazard data."
"National","USDOT Open Data Portal","National","transportation","https://data-usdot.opendata.arcgis.com/","Federal transportation datasets and geospatial services."
"National","OpenTopography","National/global","elevation/LiDAR","https://opentopography.org/","Terrain, DEM, and LiDAR access."
"National","OpenStreetMap","National/global","community basemap","https://www.openstreetmap.org/","Community-created roads, buildings, amenities, and paths."
"National","Geofabrik U.S. Extracts","National","OpenStreetMap extracts","https://download.geofabrik.de/north-america/us.html","Downloadable OSM extracts for U.S. states and regions."
"Atlanta","City of Atlanta GIS Open Data","Municipal","multi-theme GIS","https://gisdata-atlanta.opendata.arcgis.com/","Primary local GIS portal."
"Atlanta","Fulton County GIS Open Data","County","parcels/boundaries/facilities","https://gis-fultoncountyga.opendata.arcgis.com/","Countywide GIS data for Atlanta geography."
"Atlanta","Atlanta Regional Commission Open Data","Regional","planning/transportation/demographics","https://opendata.atlantaregional.com/","Regional planning and mobility data."
"Atlanta","Georgia Geospatial Data Hub","State","statewide GIS","https://data.georgiaspatial.org/","Georgia clearinghouse for base and thematic layers."
"Atlanta","Georgia DOT Open Data","State","transportation","https://georgia-department-of-transportation-gdot.hub.arcgis.com/","Roads, traffic, projects, and transportation assets."
"Atlanta","MARTA Developer Resources","Transit","GTFS/API/transit","https://itsmarta.com/app-developer-resources.aspx","Transit schedule and real-time resources."
"Boston","Analyze Boston","Municipal","open data","https://data.boston.gov/","Primary Boston open data portal."
"Boston","Boston GIS Open Data","Municipal","GIS/planning/parcels","https://bostonopendata-boston.opendata.arcgis.com/","Boston spatial data portal."
"Boston","MAPC DataCommon","Regional","planning/demographics/housing","https://datacommon.mapc.org/","Regional data from Metropolitan Area Planning Council."
"Boston","MassGIS","State","statewide GIS","https://www.mass.gov/orgs/massgis-bureau-of-geographic-information","Massachusetts statewide GIS authority."
"Boston","MassDOT Open Data Portal","State","transportation","https://geo-massdot.opendata.arcgis.com/","Roads, crashes, projects, bridges, and traffic."
"Boston","MBTA Developer Portal","Transit","GTFS/API/transit","https://www.mbta.com/developers","Transit feeds and APIs."
"Dallas","Dallas Open Data","Municipal","open data","https://www.dallasopendata.com/","Primary Dallas open data portal."
"Dallas","City of Dallas GIS Services","Municipal","GIS/planning/public works","https://gis.dallascityhall.com/","Dallas GIS services and web maps."
"Dallas","City of Arlington Open Data","Municipal","venue municipality GIS","https://data-arlingtontx.opendata.arcgis.com/","Venue municipality open data."
"Dallas","Tarrant County GIS Open Data","County","parcels/boundaries/facilities","https://gis-tarrantcounty.opendata.arcgis.com/","County GIS data for Arlington."
"Dallas","Dallas County GIS Data","County","GIS downloads","https://www.dallascounty.org/departments/plandev/gis-data.php","County GIS downloads for Dallas."
"Dallas","NCTCOG Transportation Data","Regional","transportation/planning","https://www.nctcog.org/trans/data","Regional mobility, safety, and planning datasets."
"Dallas","Texas Geographic Information Office DataHub","State","statewide GIS","https://data.geographic.texas.gov/","Texas statewide GIS clearinghouse."
"Dallas","TxDOT Open Data Portal","State","transportation","https://gis-txdot.opendata.arcgis.com/","Texas roads, traffic, crashes, projects, and assets."
"Dallas","DART Open Data Information","Transit","GTFS/transit","https://www.dart.org/about/about-dart/open-data-information","Dallas Area Rapid Transit data resources."
"Houston","City of Houston Open Data Portal","Municipal","open data","https://data.houstontx.gov/","Primary Houston open data portal."
"Houston","MyCity GIS Open Data Portal","Municipal","GIS/planning/public services","https://houston-mycity.opendata.arcgis.com/","Houston city GIS layers."
"Houston","Houston Public Works Open Data Hub","Municipal","infrastructure/public works","https://geohub.houstontx.gov/","Public works, utilities, traffic, drainage, and permits."
"Houston","Harris County GIS Open Data Portal","County","boundaries/facilities/services","https://geo-harriscounty.opendata.arcgis.com/","Countywide GIS data."
"Houston","Harris Central Appraisal District GIS Downloads","County","parcels/property","https://hcad.org/pdata/pdata-gis-downloads.html","Parcel and appraisal GIS downloads."
"Houston","Harris County Dashboards and Datasets Hub","County","dashboards/public services","https://www.harriscountytx.gov/Services-Portal/Dashboards-Datasets-Hub","Dashboards and service data."
"Houston","H-GAC Regional GIS Data Hub","Regional","planning/transportation/environment","https://gishub-h-gac.hub.arcgis.com/","Regional GIS from Houston-Galveston Area Council."
"Houston","H-GAC Research and Data","Regional","research/planning","https://www.h-gac.com/research","Regional analytical tools and research data."
"Houston","Texas Geographic Information Office DataHub","State","statewide GIS","https://data.geographic.texas.gov/","Texas statewide GIS clearinghouse."
"Houston","TxDOT Open Data Portal","State","transportation","https://gis-txdot.opendata.arcgis.com/","Texas roads, traffic, crashes, projects, and assets."
"Houston","Texas Water Development Board GIS Data","State","water/flood","https://www.twdb.texas.gov/mapping/gisdata.asp","Water planning, aquifers, basins, and flood-related layers."
"Kansas City","KCMO Open Data","Municipal","open data","https://data.kcmo.org/","Primary Kansas City open data portal."
"Kansas City","KCMO GIS Open Data","Municipal","GIS/public works/planning","https://data-kcmo.opendata.arcgis.com/","City GIS layers."
"Kansas City","Jackson County GIS Open Data","County","parcels/boundaries/facilities","https://data-jacksongov.opendata.arcgis.com/","County GIS for the stadium county."
"Kansas City","Mid-America Regional Council GIS Open Data","Regional","planning/transportation/environment","https://data-marc.opendata.arcgis.com/","Regional GIS for the Kansas City metro."
"Kansas City","MoDOT Open Data Portal","State","transportation","https://data-modot.opendata.arcgis.com/","Missouri transportation assets and projects."
"Kansas City","Missouri Spatial Data Information Service","State","statewide GIS","https://msdis.missouri.edu/","Missouri GIS clearinghouse."
"Kansas City","Kansas Data Access and Support Center","State","statewide GIS","https://www.kansasgis.org/","Kansas statewide GIS clearinghouse."
"Kansas City","Kansas DOT KART","State","transportation","https://kart.ksdot.gov/","Kansas transportation maps and roadway data."
"Kansas City","RideKC","Transit","transit/service information","https://ridekc.org/","Regional transit service information."
"Los Angeles","City of Los Angeles Open Data","Municipal","open data","https://data.lacity.org/","Primary LA city open data portal."
"Los Angeles","Los Angeles GeoHub","Municipal","GIS/planning/public works","https://geohub.lacity.org/","LA city GIS portal."
"Los Angeles","Los Angeles County Enterprise GIS Hub","County","county GIS","https://egis-lacounty.hub.arcgis.com/","County GIS layers and services."
"Los Angeles","Los Angeles County Open Data","County","open data","https://data.lacounty.gov/","County open data portal."
"Los Angeles","SCAG GIS Open Data","Regional","planning/transportation/housing","https://gisdata-scag.opendata.arcgis.com/","Southern California regional planning GIS."
"Los Angeles","California State Geoportal","State","statewide GIS","https://gis.data.ca.gov/","California geospatial clearinghouse."
"Los Angeles","Caltrans GIS Data","State","transportation","https://gisdata-caltrans.opendata.arcgis.com/","State highway, traffic, project, crash, and asset data."
"Los Angeles","LA Metro Developer Resources","Transit","GTFS/API/transit","https://developer.metro.net/","Transit feeds and APIs."
"Miami","Miami-Dade County GIS Open Data","County","county GIS","https://gis-mdc.opendata.arcgis.com/","Primary Miami-Dade spatial data portal."
"Miami","Miami Gardens ArcGIS Organization","Municipal","venue municipality maps","https://miamigardens.maps.arcgis.com/home/index.html","Maps and GIS resources for Miami Gardens."
"Miami","City of Miami GIS Open Data","Municipal","GIS/planning/public works","https://miami-gis-open-data-miami.hub.arcgis.com/","City of Miami GIS hub."
"Miami","City of Miami ArcGIS Organization","Municipal","maps/apps","https://cityofmiami.maps.arcgis.com/home/index.html","City web maps and apps."
"Miami","South Florida Regional Planning Council GIS Hub","Regional","planning/resilience/environment","https://gis-sfrpc.opendata.arcgis.com/","South Florida regional planning GIS."
"Miami","Florida GeoPortal","State","statewide GIS","https://geodata.myflorida.com/","Florida geospatial clearinghouse."
"Miami","Florida Geographic Data Library","State","statewide GIS","https://www.fgdl.org/","Florida GIS downloads."
"Miami","FDOT Open Data Hub","State","transportation","https://gis-fdot.opendata.arcgis.com/","Florida roadway, crash, bridge, project, and asset data."
"New York/New Jersey","NYC Open Data","Municipal","open data","https://opendata.cityofnewyork.us/","Primary NYC open data portal."
