trip_id,arrival_time,departure_time,stop_id,stop_sequence
t0,12:03:00,12:03:00,downtown,1
t0,12:06:00,12:06:00,medical,2
t0,12:09:00,12:09:00,stadium,3
t1,12:18:00,12:18:00,downtown,1
t1,12:21:00,12:21:00,medical,2
t1,12:24:00,12:24:00,stadium,3
t2,12:33:00,12:33:00,downtown,1
t2,12:36:00,12:36:00,medical,2
t2,12:39:00,12:39:00,stadium,3
t3,12:48:00,12:48:00,downtown,1
t3,12:51:00,12:51:00,medical,2
t3,12:54:00,12:54:00,stadium,3
t4,13:03:00,13:03:00,downtown,1
t4,13:06:00,13:06:00,medical,2
t4,13:09:00,13:09:00,stadium,3
t5,13:18:00,13:18:00,downtown,1
t5,13:21:00,13:21:00,medical,2
t5,13:24:00,13:24:00,stadium,3
t6,13:33:00,13:33:00,downtown,1
t6,13:36:00,13:36:00,medical,2
t6,13:39:00,13:39:00,stadium,3
t7,13:48:00,13:48:00,downtown,1
t7,13:51:00,13:51:00,medical,2
t7,13:54:00,13:54:00,stadium,3
t8,14:03:00,14:03:00,downtown,1
t8,14:06:00,14:06:00,medical,2
t8,14:09:00,14:09:00,stadium,3
t9,14:18:00,14:18:00,downtown,1
t9,14:21:00,14:21:00,medical,2
t9,14:24:00,14:24:00,stadium,3
t10,17:03:00,17:03:00,galleria,1
t10,17:06:00,17:06:00,stadium,2
t11,17:18:00,17:18:00,galleria,1
t11,17:21:00,17:21:00,stadium,2
t12,17:33:00,17:33:00,galleria,1
t12,17:36:00,17:36:00,stadium,2
t13,17:48:00,17:48:00,galleria,1
t13,17:51:00,17:51:00,stadium,2
t14,18:03:00,18:03:00,galleria,1
t14,18:06:00,18:06:00,stadium,2
t15,18:18:00,18:18:00,galleria,1
t15,18:21:00,18:21:00,stadium,2
